typeID,title,type,url,image,skillsID
CSRA5436979,Essential Cloud Infrastructure: Core Services dalam bahasa Indonesia,course,https://www.coursera.org/learn/essential-cloud-infrastructure-core-services-id,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~essential-cloud-infrastructure-core-services-id/XDP~COURSE!~essential-cloud-infrastructure-core-services-id.jpeg,c3a6de83-8ba4-4d60-9c47-e59c73a2732f
CSRA5629898,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,course,https://www.coursera.org/learn/legaltech,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~legaltech/XDP~COURSE!~legaltech.jpeg,3efb2308-caff-481d-94dd-4e34d1de6230
CSRA8969127,Google Cloud Fundamentals: Core Infrastructure dalam bahasa Indonesia,course,https://www.coursera.org/learn/gcp-fundamentals-core-infrastructure-id,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~gcp-fundamentals-core-infrastructure-id/XDP~COURSE!~gcp-fundamentals-core-infrastructure-id.jpeg,45d8ce88-5201-4329-a1a5-52166e804fd3
CSRA1776211,Mastering the Software Engineering Interview,course,https://www.coursera.org/learn/cs-tech-interview,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~cs-tech-interview/XDP~COURSE!~cs-tech-interview.jpeg,e8a61d6d-9b96-46ff-97a3-270cee19b71c
CSRA6643557,Introduction to Software Product Management,course,https://www.coursera.org/learn/introduction-to-software-product-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-software-product-management/XDP~COURSE!~introduction-to-software-product-management.jpeg,c99c8680-2ab3-44df-9102-841898c17dae
CSRA7997449,Hypothesis-Driven Development,course,https://www.coursera.org/learn/uva-darden-agile-testing,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~uva-darden-agile-testing/XDP~COURSE!~uva-darden-agile-testing.jpeg,f9eec17a-bee6-400d-8e40-c90fc302b619
CSRA1354551,Agile Project Management,course,https://www.coursera.org/learn/agile-project-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~agile-project-management/XDP~COURSE!~agile-project-management.jpeg,fc51e4c4-331b-4bf3-87bd-e6ec213052be
CSRA6169934,Preparing for Google Cloud Certification: Cloud DevOps Engineer Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~sre-devops-engineer-google-cloud/XDP~SPECIALIZATION!~sre-devops-engineer-google-cloud.jpeg,42570982-1a10-43c0-80a7-f61ef3f078b8
CSRA1949455,IBM Full Stack Software Developer Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~ibm-full-stack-cloud-developer/XDP~SPECIALIZATION!~ibm-full-stack-cloud-developer.jpeg,c6b361a2-f7c7-4c89-bd5b-bb39d08717af
CSRA7199535,Key Technologies for Business Specialization,specializations,https://www.coursera.org/specializations/key-technologies-for-business,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~key-technologies-for-business/XDP~SPECIALIZATION!~key-technologies-for-business.jpeg,82a537d1-c283-4955-ae97-da348bea4efa
