typeID,title,type,url,image
CSRA6422796,Google IT Support Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-support,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-support/XDP~SPECIALIZATION!~google-it-support.jpeg
CSRA4931731,Cybersecurity: Developing a Program for Your Business Specialization,specializations,https://www.coursera.org/specializations/cybersecurity-developing-program-for-business,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~cybersecurity-developing-program-for-business/XDP~SPECIALIZATION!~cybersecurity-developing-program-for-business.jpeg
CSRA3322994,Information​ ​Systems Specialization,specializations,https://www.coursera.org/specializations/information-systems,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~information-systems/XDP~SPECIALIZATION!~information-systems.jpeg
CSRA9344772,-,specializations,https://www.coursera.org/specializations/business-technology-managment,https://s3.amazonaws.com/coursera/media/Grid_Coursera_Partners_updated.png
CSRA8263186,Cybersecurity for Business Specialization,specializations,https://www.coursera.org/specializations/cyber-security-business,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~cyber-security-business/XDP~SPECIALIZATION!~cyber-security-business.jpeg
CSRA5644163,Data Structures and Algorithms Specialization,specializations,https://www.coursera.org/specializations/data-structures-algorithms,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~data-structures-algorithms/XDP~SPECIALIZATION!~data-structures-algorithms.jpeg
CSRA3577945,Algorithms Specialization,specializations,https://www.coursera.org/specializations/algorithms,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~algorithms/XDP~SPECIALIZATION!~algorithms.jpeg
CSRA2256223,Machine Learning Engineering for Production (MLOps) Specialization,specializations,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~machine-learning-engineering-for-production-mlops/XDP~SPECIALIZATION!~machine-learning-engineering-for-production-mlops.jpeg
CSRA2688267,Differential Equations for Engineers,course,https://www.coursera.org/learn/differential-equations-engineers,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~differential-equations-engineers/XDP~COURSE!~differential-equations-engineers.jpeg
CSRA1357355,-,specializations,https://www.coursera.org/specializations/mathematics-for-data-science,https://s3.amazonaws.com/coursera/media/Grid_Coursera_Partners_updated.png
CSRA5779863,Advanced Statistics for Data Science Specialization,specializations,https://www.coursera.org/specializations/advanced-statistics-data-science,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~advanced-statistics-data-science/XDP~SPECIALIZATION!~advanced-statistics-data-science.jpeg
CSRA8534814,Precalculus through Data and Modelling Specialization,specializations,https://www.coursera.org/specializations/precalculus-data-modelling,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~precalculus-data-modelling/XDP~SPECIALIZATION!~precalculus-data-modelling.jpeg
CSRA7726149,Mathematics for Engineers Specialization,specializations,https://www.coursera.org/specializations/mathematics-engineers,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~mathematics-engineers/XDP~SPECIALIZATION!~mathematics-engineers.jpeg
CSRA2819569,Differential Equations for Engineers,course,https://www.coursera.org/learn/differential-equations-engineers,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~differential-equations-engineers/XDP~COURSE!~differential-equations-engineers.jpeg
CSRA5418971,Matrix Algebra for Engineers,course,https://www.coursera.org/learn/matrix-algebra-engineers,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~matrix-algebra-engineers/XDP~COURSE!~matrix-algebra-engineers.jpeg
CSRA9685861,Contenido de las matemáticas de primaria,course,https://www.coursera.org/learn/contenido-matematica-escolar,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~contenido-matematica-escolar/XDP~COURSE!~contenido-matematica-escolar.jpeg
CSRA8189764,Calculus: Single Variable Part 1 - Functions,course,https://www.coursera.org/learn/single-variable-calculus,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~single-variable-calculus/XDP~COURSE!~single-variable-calculus.jpeg
CSRA1436539,Vector Calculus for Engineers,course,https://www.coursera.org/learn/vector-calculus-engineers,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~vector-calculus-engineers/XDP~COURSE!~vector-calculus-engineers.jpeg
CSRA5753979,Fibonacci Numbers and the Golden Ratio,course,https://www.coursera.org/learn/fibonacci,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fibonacci/XDP~COURSE!~fibonacci.jpeg
CSRA6296841,Matrix Algebra for Engineers,course,https://www.coursera.org/learn/matrix-algebra-engineers,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~matrix-algebra-engineers/XDP~COURSE!~matrix-algebra-engineers.jpeg
CSRA3859362,Game Theory,course,https://www.coursera.org/learn/game-theory-1,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~game-theory-1/XDP~COURSE!~game-theory-1.jpeg
CSRA4296916,SQL for Data Science,course,https://www.coursera.org/learn/sql-for-data-science,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~sql-for-data-science/XDP~COURSE!~sql-for-data-science.jpeg
CSRA2584534,The Data Scientist’s Toolbox,course,https://www.coursera.org/learn/data-scientists-tools,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~data-scientists-tools/XDP~COURSE!~data-scientists-tools.jpeg
CSRA9757479,Mathematics for Machine Learning Specialization,specializations,https://www.coursera.org/specializations/mathematics-machine-learning,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~mathematics-machine-learning/XDP~SPECIALIZATION!~mathematics-machine-learning.jpeg
CSRA9244636,Introduction to Mathematical Thinking,course,https://www.coursera.org/learn/mathematical-thinking,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~mathematical-thinking/XDP~COURSE!~mathematical-thinking.jpeg
CSRA7741397,Game Theory,course,https://www.coursera.org/learn/game-theory-1,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~game-theory-1/XDP~COURSE!~game-theory-1.jpeg
