typeID,name,type,url,image
CSRA3531188,Networking in Google Cloud Specialization,specializations,https://www.coursera.org/specializations/networking-google-cloud-platform,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~networking-google-cloud-platform/XDP~SPECIALIZATION!~networking-google-cloud-platform.jpeg
CSRA8769394,Two Speed IT How Companies Can Surf the Digital Wave a BCG Perspective,course,https://www.coursera.org/learn/2-speed-it,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~2-speed-it/XDP~COURSE!~2-speed-it.jpeg
CSRA7492572,Fundamentals of Network Communication,course,https://www.coursera.org/learn/fundamentals-network-communications,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fundamentals-network-communications/XDP~COURSE!~fundamentals-network-communications.jpeg
CSRA1925212,Design a User Experience for Social Good & Prepare for Jobs,course,https://www.coursera.org/learn/ux-design-jobs,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ux-design-jobs/XDP~COURSE!~ux-design-jobs.jpeg
CSRA8178334,Building Database Applications in PHP,course,https://www.coursera.org/learn/database-applications-php,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~database-applications-php/XDP~COURSE!~database-applications-php.jpeg
CSRA2246288,Web Design: Wireframes to Prototypes,course,https://www.coursera.org/learn/web-design-wireframes-prototypes,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~web-design-wireframes-prototypes/XDP~COURSE!~web-design-wireframes-prototypes.jpeg
CSRA8942623,Build Wireframes and Low-Fidelity Prototypes,course,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~wireframes-low-fidelity-prototypes/XDP~COURSE!~wireframes-low-fidelity-prototypes.jpeg
CSRA5627595,Introduction to C# Programming and Unity,course,https://www.coursera.org/learn/introduction-programming-unity,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-programming-unity/XDP~COURSE!~introduction-programming-unity.jpeg
CSRA5133821,Virtual Reality Specialization,specializations,https://www.coursera.org/specializations/virtual-reality,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~virtual-reality/XDP~SPECIALIZATION!~virtual-reality.jpeg
CSRA7751441,C++ Programming for Unreal Game Development Specialization,specializations,https://www.coursera.org/specializations/cplusplusunrealgamedevelopment,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~cplusplusunrealgamedevelopment/XDP~SPECIALIZATION!~cplusplusunrealgamedevelopment.jpeg
CSRA5571379,Game Design and Development with Unity 2020 Specialization,specializations,https://www.coursera.org/specializations/game-design-and-development,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~game-design-and-development/XDP~SPECIALIZATION!~game-design-and-development.jpeg
CSRA7384345,Interaction Design Specialization,specializations,https://www.coursera.org/specializations/interaction-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~interaction-design/XDP~SPECIALIZATION!~interaction-design.jpeg
CSRA3484959,Digital Product Management Specialization,specializations,https://www.coursera.org/specializations/uva-darden-digital-product-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~uva-darden-digital-product-management/XDP~SPECIALIZATION!~uva-darden-digital-product-management.jpeg
CSRA6931944,Web Design for Everybody: Basics of Web Development & Coding Specialization,specializations,https://www.coursera.org/specializations/web-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~web-design/XDP~SPECIALIZATION!~web-design.jpeg
CSRA5734726,Google UX Design Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-ux-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-ux-design/XDP~SPECIALIZATION!~google-ux-design.jpeg
CSRA7841348,Foundations of User Experience (UX) Design,course,https://www.coursera.org/learn/foundations-user-experience-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~foundations-user-experience-design/XDP~COURSE!~foundations-user-experience-design.jpeg
CSRA6735259,Google UX Design Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-ux-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-ux-design/XDP~SPECIALIZATION!~google-ux-design.jpeg
CSRA1921816,Fundamentals of Graphic Design,course,https://www.coursera.org/learn/fundamentals-of-graphic-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fundamentals-of-graphic-design/XDP~COURSE!~fundamentals-of-graphic-design.jpeg
CSRA1443944,HTML CSS and Javascript for Web Developers,course,https://www.coursera.org/learn/html-css-javascript-for-web-developers,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~html-css-javascript-for-web-developers/XDP~COURSE!~html-css-javascript-for-web-developers.jpeg
CSRA4613625,Agile Analytics,course,https://www.coursera.org/learn/uva-darden-agile-analytics,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~uva-darden-agile-analytics/XDP~COURSE!~uva-darden-agile-analytics.jpeg
CSRA5845584,Building AI Powered Chatbots Without Programming,course,https://www.coursera.org/learn/building-ai-powered-chatbots,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~building-ai-powered-chatbots/XDP~COURSE!~building-ai-powered-chatbots.jpeg
